2023.04.16 15:31:30 WARN  es[][o.e.t.ThreadPool] timer thread slept for [1.6d/142535593ms] on absolute clock which is above the warn threshold of [5000ms]
2023.04.16 15:45:28 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/dev/sda5)]], net usable_space [4gb], net total_space [38.7gb], types [ext4]
2023.04.16 15:45:28 INFO  es[][o.e.e.NodeEnvironment] heap size [512mb], compressed ordinary object pointers [true]
2023.04.16 15:45:29 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [YC9DAJ3BQ1iOFNEHjit3uA], cluster name [sonarqube], roles [data_frozen, master, remote_cluster_client, data, data_content, data_hot, data_warm, data_cold, ingest]
2023.04.16 15:45:36 INFO  es[][o.e.t.NettyAllocator] creating NettyAllocator with the following configs: [name=unpooled, suggested_max_allocation_size=256kb, factors={es.unsafe.use_unpooled_allocator=null, g1gc_enabled=true, g1gc_region_size=1mb, heap_size=512mb}]
2023.04.16 15:45:36 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen] and seed hosts providers [settings]
2023.04.16 15:45:38 INFO  es[][o.e.g.DanglingIndicesState] gateway.auto_import_dangling_indices is disabled, dangling indices will not be automatically detected or imported and must be managed manually
2023.04.16 15:45:38 INFO  es[][o.e.n.Node] initialized
2023.04.16 15:45:38 INFO  es[][o.e.n.Node] starting ...
2023.04.16 15:45:38 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:38151}, bound_addresses {127.0.0.1:38151}
2023.04.16 15:45:40 WARN  es[][o.e.b.BootstrapChecks] max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]
2023.04.16 15:45:40 INFO  es[][o.e.c.c.Coordinator] cluster UUID [fah_FOqSSTqMilhrKFUAng]
2023.04.16 15:45:40 INFO  es[][o.e.c.s.MasterService] elected-as-master ([1] nodes joined)[{sonarqube}{YC9DAJ3BQ1iOFNEHjit3uA}{CEnld_T4R3e7tucquE23hA}{127.0.0.1}{127.0.0.1:38151}{cdfhimrsw} elect leader, _BECOME_MASTER_TASK_, _FINISH_ELECTION_], term: 10, version: 229, delta: master node changed {previous [], current [{sonarqube}{YC9DAJ3BQ1iOFNEHjit3uA}{CEnld_T4R3e7tucquE23hA}{127.0.0.1}{127.0.0.1:38151}{cdfhimrsw}]}
2023.04.16 15:45:40 INFO  es[][o.e.c.s.ClusterApplierService] master node changed {previous [], current [{sonarqube}{YC9DAJ3BQ1iOFNEHjit3uA}{CEnld_T4R3e7tucquE23hA}{127.0.0.1}{127.0.0.1:38151}{cdfhimrsw}]}, term: 10, version: 229, reason: Publication{term=10, version=229}
2023.04.16 15:45:40 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] low disk watermark [85%] exceeded on [YC9DAJ3BQ1iOFNEHjit3uA][sonarqube][/opt/sonarqube/data/es7/nodes/0] free: 4gb[10.4%], replicas will not be assigned to this node
2023.04.16 15:45:40 INFO  es[][o.e.h.AbstractHttpServerTransport] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2023.04.16 15:45:40 INFO  es[][o.e.n.Node] started
2023.04.16 15:45:40 INFO  es[][o.e.g.GatewayService] recovered [7] indices into cluster_state
2023.04.16 15:45:42 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[metadatas][0]]]).
2023.04.16 15:46:10 INFO  es[][o.e.n.Node] stopping ...
2023.04.16 15:46:10 INFO  es[][o.e.n.Node] stopped
2023.04.16 15:46:10 INFO  es[][o.e.n.Node] closing ...
2023.04.16 15:46:10 INFO  es[][o.e.n.Node] closed
2023.04.16 15:46:16 INFO  es[][o.e.n.Node] version[7.16.2], pid[37], build[default/tar/2b937c44140b6559905130a8650c64dbd0879cfb/2021-12-18T19:42:46.604893745Z], OS[Linux/5.19.0-38-generic/amd64], JVM[Eclipse Adoptium/OpenJDK 64-Bit Server VM/11.0.13/11.0.13+8]
2023.04.16 15:46:16 INFO  es[][o.e.n.Node] JVM home [/opt/java/openjdk]
2023.04.16 15:46:16 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseG1GC, -Djava.io.tmpdir=/opt/sonarqube/temp, -XX:ErrorFile=../logs/es_hs_err_pid%p.log, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djna.tmpdir=/opt/sonarqube/temp, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dio.netty.allocator.numDirectArenas=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=COMPAT, -Xmx512m, -Xms512m, -XX:MaxDirectMemorySize=256m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch, -Des.path.conf=/opt/sonarqube/temp/conf/es, -Des.distribution.flavor=default, -Des.distribution.type=tar, -Des.bundled_jdk=false]
2023.04.16 15:46:16 INFO  es[][o.e.p.PluginsService] loaded module [analysis-common]
2023.04.16 15:46:16 INFO  es[][o.e.p.PluginsService] loaded module [lang-painless]
2023.04.16 15:46:16 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2023.04.16 15:46:16 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2023.04.16 15:46:16 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2023.04.16 15:46:16 INFO  es[][o.e.p.PluginsService] no plugins loaded
2023.04.16 15:46:16 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/dev/sda5)]], net usable_space [4gb], net total_space [38.7gb], types [ext4]
2023.04.16 15:46:16 INFO  es[][o.e.e.NodeEnvironment] heap size [512mb], compressed ordinary object pointers [true]
2023.04.16 15:46:16 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [YC9DAJ3BQ1iOFNEHjit3uA], cluster name [sonarqube], roles [data_frozen, master, remote_cluster_client, data, data_content, data_hot, data_warm, data_cold, ingest]
2023.04.16 15:46:19 INFO  es[][o.e.t.NettyAllocator] creating NettyAllocator with the following configs: [name=unpooled, suggested_max_allocation_size=256kb, factors={es.unsafe.use_unpooled_allocator=null, g1gc_enabled=true, g1gc_region_size=1mb, heap_size=512mb}]
2023.04.16 15:46:19 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen] and seed hosts providers [settings]
2023.04.16 15:46:20 INFO  es[][o.e.g.DanglingIndicesState] gateway.auto_import_dangling_indices is disabled, dangling indices will not be automatically detected or imported and must be managed manually
2023.04.16 15:46:20 INFO  es[][o.e.n.Node] initialized
2023.04.16 15:46:20 INFO  es[][o.e.n.Node] starting ...
2023.04.16 15:46:20 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:41031}, bound_addresses {127.0.0.1:41031}
2023.04.16 15:46:20 WARN  es[][o.e.b.BootstrapChecks] max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]
2023.04.16 15:46:20 INFO  es[][o.e.c.c.Coordinator] cluster UUID [fah_FOqSSTqMilhrKFUAng]
2023.04.16 15:46:20 INFO  es[][o.e.c.s.MasterService] elected-as-master ([1] nodes joined)[{sonarqube}{YC9DAJ3BQ1iOFNEHjit3uA}{SrtBIcLDR2S20M1GPi5QUg}{127.0.0.1}{127.0.0.1:41031}{cdfhimrsw} elect leader, _BECOME_MASTER_TASK_, _FINISH_ELECTION_], term: 11, version: 253, delta: master node changed {previous [], current [{sonarqube}{YC9DAJ3BQ1iOFNEHjit3uA}{SrtBIcLDR2S20M1GPi5QUg}{127.0.0.1}{127.0.0.1:41031}{cdfhimrsw}]}
2023.04.16 15:46:20 INFO  es[][o.e.c.s.ClusterApplierService] master node changed {previous [], current [{sonarqube}{YC9DAJ3BQ1iOFNEHjit3uA}{SrtBIcLDR2S20M1GPi5QUg}{127.0.0.1}{127.0.0.1:41031}{cdfhimrsw}]}, term: 11, version: 253, reason: Publication{term=11, version=253}
2023.04.16 15:46:20 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] low disk watermark [85%] exceeded on [YC9DAJ3BQ1iOFNEHjit3uA][sonarqube][/opt/sonarqube/data/es7/nodes/0] free: 4gb[10.4%], replicas will not be assigned to this node
2023.04.16 15:46:20 INFO  es[][o.e.h.AbstractHttpServerTransport] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2023.04.16 15:46:20 INFO  es[][o.e.n.Node] started
2023.04.16 15:46:20 INFO  es[][o.e.g.GatewayService] recovered [7] indices into cluster_state
2023.04.16 15:46:22 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[metadatas][0]]]).
